id	is_hotel	country	currency	city	cityarea	name	abbr	tel	good_for_family	accept_credit_card	parking	outdoor_seating	wifi	wheelchair_accessible	price1	price2	lat	lng	timezone	locale	cdate
2a04dc3333b6e57ccf89096c9307cc0021490558	0	tw	TWD			Yamato Kitchen	7917F59A5A4077C00690CA5C51F0947D4064BA14	36CA3FB5B78C18A98F9046129B8D5A916BAFBEFC	0	1	1	1	1	0	426	1531	23.900000	120.600000	Asia/Taipei	zh_TW	11/12/2024 23:4
090fefd1db73edc264771ad99a544e5303ae7ed2	1	tw	TWD			Golden Dragon	173763D7A7DFD40FB29A103B9E022C8C7E38452A	882E4ED1D19931FB8E7625E7785FD2F6A12659BF	1	1	0	1	1	1	357	1270	24.200000	120.900000	Asia/Taipei	zh_TW	04/29/2023 18:39
1c7bd4f4f38b5173baba6ae52bd07daca8e57eee	1	tw	TWD	Taipei City	Main City Center	Golden Dragon	74D610A485AC546DEAAAD15618576DD90E948C15	56767ADCBBD93B69042B3BD20D9D481127692A31	1	0	0	0	1	0	1006	2096	25.000000	121.600000	Asia/Taipei	zh_TW	01/27/2025 1:54
c459e953d14117d12ee952526289af7d1461920e	0	tw	TWD			Silk Pagoda	A609011E677F1EF3CD4E9C7656B5216E495798F6	3238E7CC878B1479F0985C591CCE0E00A67BE4EC	1	1	0	0	1	0	648	675	25.300000	121.700000	Asia/Taipei	zh_TW	10/19/2024 13:58
962ac2e03f3e650cd4d4eea640e02cc4e80b6207	1	tw	TWD	Kaohsiung City	East District	Kaizen Noodle	06C677CBD742C8A82B23C205581B4847C906B88F	D038AC3E76F990092CEB192931B81CCB9AC1B0BB	0	1	0	1	1	0	740	627	24.400000	121.200000	Asia/Taipei	zh_TW	02/02/2024 21:50
08bec9bd876cabb371b6824552199623fd3f17f2	1	tw	TWD	Taichung City	Wuri District	Jade Garden	451E98D153D140BA395A9EAD46F2CB99457242D3	61A0889E103B31D29A724F1A759636EF8F9D07E0	0	0	1	1	0	1	814	1229	25.000000	120.800000	Asia/Taipei	zh_TW	10/01/2022 5:41
74f518ed01e89bd8b59f6c07567c24be150a9e1e	1	tw	TWD	Kaohsiung City	West District	Yume Bento	8CAE35D82F3A3494D0D46A38A7FC21D2372175B2	ED99F231B4EF21EA8855BBF91DBB7197790825D1	0	1	1	1	1	1	886	1653	25.400000	122.400000	Asia/Taipei	zh_TW	01/24/2025 4:53
42fbb6ab26cc04f2a92a6cf8cff262acd0e21d1e	0	tw	TWD			Crystal Pavilion	2B5F4AACD7137D643E54F72121C1C81625B3B3B3	1AE2C5C6D3D0BB1AA240CA6FB830DB2B795D04D2	1	0	0	1	0	1	804	1137	24.100000	120.500000	Asia/Taipei	zh_TW	02/20/2025 16:1
89e5a064e149af779c6b6fdda2dac79d364d857a	1	tw	TWD		West District	Kyoto Garden	96C91E011D7BBB229C34CF8C9E0E153CE102CB18	826BABF621D36259DA8A4B7B5C537F770E5705B4	1	0	1	0	1	0	851	1330	24.800000	121.800000	Asia/Taipei	zh_TW	07/19/2024 1:59
46e8b68d70151937005d7b96df4e5a80d428e3d3	1	tw	TWD			Mikado Izakaya	9C5542BB2D11EEAB262FC95B423AB8653BEAFA15	34613AA731182D7F5A4B8D7BECD41A454385C89A	0	0	1	0	1	1	409	1113	24.000000	121.900000	Asia/Taipei	zh_TW	10/25/2023 14:18
ed7b1e3549114c89ab8b63ad2b9df49b39b37879	1	tw	TWD	Taipei City	Main City Center	Sora Express	7C13D9D4876D26EDBA2BFE950D249E30C693CB69	1C0A8460BEE13D9CA63F1F6EAA0A4000D1E23B6F	1	0	0	1	1	1	787	1358	25.000000	121.800000	Asia/Taipei	zh_TW	12/26/2023 0:28
8a55c3088e2ec6606596c9dfcc753064f2a5c4c7	1	tw	TWD			Imperial Palace	7653876E238460B3BF3A2AB15BFB4428F1D584A8	B5E4D95E22664243784AA4F72DDE10CC33DFD937	0	1	0	0	0	0	593	1145	24.200000	120.600000	Asia/Taipei	zh_TW	03/28/2024 0:54
9db74fcfd6aba4262a9aac5e64b0f8a305a293c6	1	tw	TWD	Kaohsiung City	West District	Yume Bento	0E652E73D068EB1E9D4FDCCB830725D129888C48	7F6E7EF18ACF09880737877AFACE5A0C91F30F39	1	1	0	0	0	0	655	1087	25.200000	122.000000	Asia/Taipei	zh_TW	01/14/2023 18:27
7daa33cda1835a8795169e5f820e5be7f639099e	0	tw	TWD	Taichung City		Jade Garden	051A20B7EBA226E96F426D2BA34AE0D8146BFC04	01DCA27D2827D09FC81E1C145FBEDF7721F16350	0	0	0	0	0	1	462	1183	23.700000	121.700000	Asia/Taipei	zh_TW	03/09/2024 6:5
12e8d731872fdecfec58df4dbd95ffd3b61905c3	1	tw	TWD	Taipei City		Silk Pagoda	EC4C0036438357435BCD9F757E923FDC22C4C402	29F1D0BD578D0187FB39F4713BB0E4A8C130CF81	0	0	1	1	0	0	624	1693	25.400000	121.900000	Asia/Taipei	zh_TW	01/10/2023 21:0
bb542e64a33db34ed7d307e57ef5d7b51cb442cd	1	tw	TWD		Wuri District	Ginza Grill	42AA6280AA6B7E69DDC877454DBF8944C128C6A3	3DA756E11D14FD4E3B190B5FF5BDDC1BDF419301	1	1	1	0	0	0	549	801	24.800000	120.500000	Asia/Taipei	zh_TW	02/23/2023 0:11
